risk_id,risk_title,risk_description,risk_category,business_process,product_id,site_id,risk_owner_id,initial_severity,initial_occurrence,initial_detectability,initial_rpn,risk_controls,residual_severity,residual_occurrence,residual_detectability,residual_rpn,risk_acceptance_status,last_review_date,next_review_date,status,icq9_tool_used,linked_capa_id
RISK-0102,Risk: Computer Systems failure at SITE-EU-01,Potential failure in Aseptic Fill affecting product quality,Regulatory,API Synthesis,3,SITE-EU-01,251,6,8,5,240,Control measures implemented per ICH Q9,6,6,3,108,ALARP,2023-10-10,2024-04-07,Active,PHA,CAPA-0149
RISK-0103,Risk: Packaging failure at SITE-US-01,Potential failure in Supplier Management affecting product quality,Process,Packaging,3,SITE-US-01,99,9,9,7,567,Control measures implemented per ICH Q9,6,6,4,144,ALARP,2023-03-24,2023-09-20,Closed,FTA,
RISK-0104,Risk: Change Control failure at SITE-US-02,Potential failure in Supplier Management affecting product quality,Patient Safety,Analytical Testing,7,SITE-US-02,136,3,2,8,48,Control measures implemented per ICH Q9,2,2,7,28,Acceptable,2024-03-04,2024-08-31,Active,HACCP,
RISK-0105,Risk: Change Control failure at SITE-AP-01,Potential failure in API Synthesis affecting product quality,Patient Safety,Computer Systems,7,SITE-AP-01,429,6,3,6,108,Control measures implemented per ICH Q9,6,1,4,24,Acceptable,2024-02-28,2024-08-26,Active,FMEA,
RISK-0106,Risk: Change Control failure at SITE-EU-01,Potential failure in Packaging affecting product quality,Process,API Synthesis,8,SITE-EU-01,189,5,8,3,120,Control measures implemented per ICH Q9,3,4,3,36,Acceptable,2022-02-14,2022-08-13,Active,PHA,
RISK-0107,Risk: Cold Chain Distribution failure at SITE-AP-01,Potential failure in Computer Systems affecting product quality,Product Quality,Analytical Testing,7,SITE-AP-01,339,3,7,8,168,Control measures implemented per ICH Q9,2,5,7,70,Acceptable,2022-10-30,2023-04-28,Active,HACCP,
RISK-0108,Risk: Computer Systems failure at SITE-EU-02,Potential failure in Computer Systems affecting product quality,Supply Chain,Environmental Control,5,SITE-EU-02,296,9,2,9,162,Control measures implemented per ICH Q9,9,1,7,63,Acceptable,2023-09-05,2024-03-03,Active,HACCP,
RISK-0109,Risk: Analytical Testing failure at SITE-AP-01,Potential failure in Packaging affecting product quality,Supply Chain,Computer Systems,8,SITE-AP-01,379,8,3,5,120,Control measures implemented per ICH Q9,6,1,3,18,Acceptable,2022-11-09,2023-05-08,Active,FMEA,
RISK-0110,Risk: Tablet Compression failure at SITE-US-02,Potential failure in Tablet Compression affecting product quality,Patient Safety,API Synthesis,8,SITE-US-02,149,6,9,3,162,Control measures implemented per ICH Q9,4,8,1,32,Acceptable,2022-08-16,2023-02-12,Active,HACCP,
RISK-0111,Risk: Aseptic Fill failure at SITE-EU-02,Potential failure in API Synthesis affecting product quality,Patient Safety,Cold Chain Distribution,4,SITE-EU-02,307,4,3,5,60,Control measures implemented per ICH Q9,2,1,3,6,Acceptable,2023-12-18,2024-06-15,Active,FMEA,
RISK-0112,Risk: Tablet Compression failure at SITE-EU-01,Potential failure in Tablet Compression affecting product quality,Patient Safety,Supplier Management,4,SITE-EU-01,246,6,5,3,90,Control measures implemented per ICH Q9,4,5,1,20,Acceptable,2023-09-12,2024-03-10,Active,FMEA,
RISK-0113,Risk: Aseptic Fill failure at SITE-AP-01,Potential failure in API Synthesis affecting product quality,Process,Supplier Management,6,SITE-AP-01,392,5,3,4,60,Control measures implemented per ICH Q9,4,3,4,48,Acceptable,2023-03-13,2023-09-09,Active,FMEA,
RISK-0114,Risk: Change Control failure at SITE-EU-02,Potential failure in Analytical Testing affecting product quality,Process,API Synthesis,5,SITE-EU-02,285,8,8,5,320,Control measures implemented per ICH Q9,7,6,4,168,ALARP,2023-06-25,2023-12-22,Active,HACCP,
RISK-0115,Risk: Computer Systems failure at SITE-US-02,Potential failure in Cold Chain Distribution affecting product quality,Regulatory,Tablet Compression,2,SITE-US-02,157,10,4,5,200,Control measures implemented per ICH Q9,7,2,5,70,Acceptable,2022-01-25,2022-07-24,Active,FMEA,
RISK-0116,Risk: Computer Systems failure at SITE-EU-02,Potential failure in Analytical Testing affecting product quality,Supply Chain,Tablet Compression,6,SITE-EU-02,308,8,7,6,336,Control measures implemented per ICH Q9,8,5,3,120,ALARP,2024-03-02,2024-08-29,Active,HACCP,
RISK-0117,Risk: Packaging failure at SITE-EU-01,Potential failure in API Synthesis affecting product quality,Process,Cold Chain Distribution,6,SITE-EU-01,217,5,8,5,200,Control measures implemented per ICH Q9,3,4,5,60,Acceptable,2022-07-25,2023-01-21,Active,FMEA,
RISK-0118,Risk: Environmental Control failure at SITE-US-01,Potential failure in Change Control affecting product quality,Patient Safety,Cold Chain Distribution,8,SITE-US-01,25,4,5,2,40,Control measures implemented per ICH Q9,3,5,1,15,Acceptable,2022-04-19,2022-10-16,Active,HACCP,
RISK-0119,Risk: Environmental Control failure at SITE-US-01,Potential failure in API Synthesis affecting product quality,Supply Chain,Tablet Compression,6,SITE-US-01,115,7,4,4,112,Control measures implemented per ICH Q9,5,1,3,15,Acceptable,2023-01-29,2023-07-28,Active,FMEA,
RISK-0120,Risk: Analytical Testing failure at SITE-AP-01,Potential failure in Supplier Management affecting product quality,Process,Tablet Compression,3,SITE-AP-01,431,6,3,4,72,Control measures implemented per ICH Q9,4,1,3,12,Acceptable,2022-10-04,2023-04-02,Active,FTA,
RISK-0121,Risk: Supplier Management failure at SITE-EU-01,Potential failure in Change Control affecting product quality,IT/Data Integrity,Environmental Control,6,SITE-EU-01,226,9,2,5,90,Control measures implemented per ICH Q9,7,1,4,28,Acceptable,2023-10-17,2024-04-14,Closed,FMEA,
RISK-0122,Risk: Environmental Control failure at SITE-EU-02,Potential failure in Supplier Management affecting product quality,Regulatory,Cold Chain Distribution,1,SITE-EU-02,320,4,5,4,80,Control measures implemented per ICH Q9,1,3,2,6,Acceptable,2022-08-09,2023-02-05,Closed,HACCP,
RISK-0123,Risk: Cold Chain Distribution failure at SITE-EU-01,Potential failure in Environmental Control affecting product quality,Supply Chain,Analytical Testing,7,SITE-EU-01,211,9,7,5,315,Control measures implemented per ICH Q9,9,6,3,162,ALARP,2022-06-25,2022-12-22,Active,FMEA,
RISK-0124,Risk: Supplier Management failure at SITE-EU-01,Potential failure in Cold Chain Distribution affecting product quality,Process,Packaging,2,SITE-EU-01,261,3,3,2,18,Control measures implemented per ICH Q9,2,3,1,6,Acceptable,2023-11-02,2024-04-30,Active,FMEA,
RISK-0125,Risk: Computer Systems failure at SITE-AP-01,Potential failure in Change Control affecting product quality,Supply Chain,Cold Chain Distribution,4,SITE-AP-01,348,10,8,5,400,Control measures implemented per ICH Q9,10,5,5,250,Unacceptable,2022-01-28,2022-07-27,Active,FTA,CAPA-0207
RISK-0126,Risk: Change Control failure at SITE-US-01,Potential failure in Change Control affecting product quality,Product Quality,Packaging,2,SITE-US-01,45,6,7,9,378,Control measures implemented per ICH Q9,5,6,7,210,Unacceptable,2022-03-24,2022-09-20,Active,FMEA,CAPA-0085
RISK-0127,Risk: Supplier Management failure at SITE-EU-02,Potential failure in API Synthesis affecting product quality,IT/Data Integrity,Analytical Testing,2,SITE-EU-02,298,8,5,2,80,Control measures implemented per ICH Q9,7,4,1,28,Acceptable,2023-01-09,2023-07-08,Active,PHA,
RISK-0128,Risk: Tablet Compression failure at SITE-AP-01,Potential failure in Change Control affecting product quality,Product Quality,Analytical Testing,8,SITE-AP-01,414,6,4,7,168,Control measures implemented per ICH Q9,4,1,7,28,Acceptable,2023-11-22,2024-05-20,Active,HACCP,
RISK-0129,Risk: Change Control failure at SITE-AP-01,Potential failure in Computer Systems affecting product quality,Regulatory,Computer Systems,1,SITE-AP-01,322,8,3,4,96,Control measures implemented per ICH Q9,7,2,2,28,Acceptable,2022-08-11,2023-02-07,Active,FMEA,
RISK-0130,Risk: Computer Systems failure at SITE-AP-01,Potential failure in Change Control affecting product quality,Patient Safety,Aseptic Fill,5,SITE-AP-01,374,4,6,3,72,Control measures implemented per ICH Q9,4,4,1,16,Acceptable,2023-08-17,2024-02-13,Closed,FMEA,
RISK-0131,Risk: Aseptic Fill failure at SITE-US-02,Potential failure in Environmental Control affecting product quality,Patient Safety,Cold Chain Distribution,4,SITE-US-02,159,10,4,8,320,Control measures implemented per ICH Q9,9,4,8,288,Unacceptable,2024-02-03,2024-08-01,Active,PHA,CAPA-0161
RISK-0132,Risk: Aseptic Fill failure at SITE-US-02,Potential failure in Packaging affecting product quality,Process,Supplier Management,6,SITE-US-02,122,9,5,9,405,Control measures implemented per ICH Q9,6,4,6,144,ALARP,2022-01-12,2022-07-11,Active,FMEA,CAPA-0022
RISK-0133,Risk: API Synthesis failure at SITE-US-01,Potential failure in Cold Chain Distribution affecting product quality,IT/Data Integrity,Cold Chain Distribution,6,SITE-US-01,31,10,8,9,720,Control measures implemented per ICH Q9,8,8,6,384,Unacceptable,2022-02-01,2022-07-31,Active,HACCP,CAPA-0052
RISK-0134,Risk: Environmental Control failure at SITE-EU-02,Potential failure in Computer Systems affecting product quality,IT/Data Integrity,Aseptic Fill,3,SITE-EU-02,281,4,2,9,72,Control measures implemented per ICH Q9,3,1,8,24,Acceptable,2023-04-11,2023-10-08,Active,HACCP,
RISK-0135,Risk: Supplier Management failure at SITE-EU-01,Potential failure in Aseptic Fill affecting product quality,IT/Data Integrity,Supplier Management,5,SITE-EU-01,190,8,9,2,144,Control measures implemented per ICH Q9,7,8,2,112,ALARP,2022-04-26,2022-10-23,Active,HACCP,
RISK-0136,Risk: Cold Chain Distribution failure at SITE-AP-01,Potential failure in API Synthesis affecting product quality,IT/Data Integrity,API Synthesis,4,SITE-AP-01,356,3,3,9,81,Control measures implemented per ICH Q9,1,3,8,24,Acceptable,2024-06-05,2024-12-02,Active,HACCP,
RISK-0137,Risk: Environmental Control failure at SITE-US-02,Potential failure in API Synthesis affecting product quality,Product Quality,Computer Systems,6,SITE-US-02,149,8,6,5,240,Control measures implemented per ICH Q9,8,6,2,96,Acceptable,2024-03-21,2024-09-17,Active,HACCP,
RISK-0138,Risk: API Synthesis failure at SITE-AP-01,Potential failure in Computer Systems affecting product quality,Process,Packaging,3,SITE-AP-01,334,4,6,8,192,Control measures implemented per ICH Q9,2,3,6,36,Acceptable,2022-07-09,2023-01-05,Active,FMEA,
RISK-0139,Risk: Cold Chain Distribution failure at SITE-US-01,Potential failure in Aseptic Fill affecting product quality,Product Quality,Environmental Control,1,SITE-US-01,43,7,2,3,42,Control measures implemented per ICH Q9,5,1,1,5,Acceptable,2022-06-01,2022-11-28,Active,FMEA,
RISK-0140,Risk: Environmental Control failure at SITE-US-02,Potential failure in Environmental Control affecting product quality,Process,Environmental Control,7,SITE-US-02,158,4,9,9,324,Control measures implemented per ICH Q9,4,8,7,224,Unacceptable,2023-06-16,2023-12-13,Active,FMEA,
RISK-0141,Risk: Tablet Compression failure at SITE-AP-01,Potential failure in Cold Chain Distribution affecting product quality,Product Quality,Computer Systems,6,SITE-AP-01,371,9,4,4,144,Control measures implemented per ICH Q9,7,4,2,56,Acceptable,2023-11-10,2024-05-08,Active,HACCP,
RISK-0142,Risk: Change Control failure at SITE-US-01,Potential failure in Change Control affecting product quality,Product Quality,Environmental Control,1,SITE-US-01,16,10,6,2,120,Control measures implemented per ICH Q9,7,4,2,56,Acceptable,2024-05-19,2024-11-15,Active,HACCP,
RISK-0143,Risk: Cold Chain Distribution failure at SITE-US-01,Potential failure in Tablet Compression affecting product quality,IT/Data Integrity,Aseptic Fill,3,SITE-US-01,97,10,5,8,400,Control measures implemented per ICH Q9,8,4,6,192,ALARP,2023-10-24,2024-04-21,Closed,FMEA,
RISK-0144,Risk: Tablet Compression failure at SITE-EU-02,Potential failure in Packaging affecting product quality,IT/Data Integrity,Environmental Control,4,SITE-EU-02,317,3,8,8,192,Control measures implemented per ICH Q9,3,8,8,192,ALARP,2023-01-05,2023-07-04,Active,HACCP,
RISK-0145,Risk: Tablet Compression failure at SITE-US-01,Potential failure in Analytical Testing affecting product quality,IT/Data Integrity,Computer Systems,3,SITE-US-01,55,3,6,6,108,Control measures implemented per ICH Q9,2,6,4,48,Acceptable,2022-05-09,2022-11-05,Closed,FTA,
RISK-0146,Risk: Environmental Control failure at SITE-US-02,Potential failure in Packaging affecting product quality,IT/Data Integrity,API Synthesis,1,SITE-US-02,149,6,5,8,240,Control measures implemented per ICH Q9,4,2,6,48,Acceptable,2023-03-18,2023-09-14,Active,FMEA,
RISK-0147,Risk: Packaging failure at SITE-US-02,Potential failure in Aseptic Fill affecting product quality,Regulatory,Computer Systems,1,SITE-US-02,150,8,7,4,224,Control measures implemented per ICH Q9,7,5,3,105,ALARP,2024-03-07,2024-09-03,Active,FMEA,CAPA-0125
RISK-0148,Risk: Tablet Compression failure at SITE-EU-01,Potential failure in Change Control affecting product quality,Process,Aseptic Fill,4,SITE-EU-01,171,6,7,2,84,Control measures implemented per ICH Q9,6,3,2,36,Acceptable,2022-03-23,2022-09-19,Active,FMEA,
RISK-0149,Risk: API Synthesis failure at SITE-US-02,Potential failure in Change Control affecting product quality,Supply Chain,Change Control,8,SITE-US-02,149,3,6,3,54,Control measures implemented per ICH Q9,3,4,2,24,Acceptable,2023-06-24,2023-12-21,Active,FMEA,
RISK-0150,Risk: Supplier Management failure at SITE-EU-01,Potential failure in Change Control affecting product quality,IT/Data Integrity,Computer Systems,3,SITE-EU-01,204,3,9,3,81,Control measures implemented per ICH Q9,1,6,3,18,Acceptable,2022-05-16,2022-11-12,Active,HACCP,
