change_id,change_title,change_category,change_type,site_id,initiating_dept_id,requestor_id,description,business_justification,product_impact,regulatory_impact,regulatory_filing_required,safety_impact,initiation_date,impact_assess_due_date,impact_assess_complete_dt,approval_date,implementation_date,close_date,status,approved_by,linked_capa_id,linked_deviation_id
CHG-0094,Minor Material change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,9,42,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-05-07,2024-05-21,2024-05-14,2024-06-17,2024-06-03,2024-06-16,Closed,44,,
CHG-0095,Major Labeling change at Philadelphia Manufacturing,Equipment,Major,SITE-US-01,6,119,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-09-19,2024-10-03,2024-09-30,2024-10-28,2025-01-03,,Approval,57,,
CHG-0096,Minor Facility change at Philadelphia Manufacturing,Process,Minor,SITE-US-01,3,43,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-01-06,2024-01-20,2024-01-25,2024-02-04,2024-02-25,2024-03-11,Closed,55,,
CHG-0097,Minor Process change at Philadelphia Manufacturing,Software,Minor,SITE-US-01,10,120,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2024-12-19,2025-01-02,2024-12-28,2025-01-02,2025-02-07,,Approval,74,,
CHG-0098,Critical Labeling change at Philadelphia Manufacturing,Material,Critical,SITE-US-01,10,14,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,True,CBE-0,False,2024-12-06,2024-12-20,2024-12-25,2024-12-30,2025-04-08,,Implementation,95,CAPA-0003,
CHG-0099,Major Software change at Philadelphia Manufacturing,Material,Major,SITE-US-01,3,29,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,True,None,False,2024-06-18,2024-07-02,2024-07-07,2024-07-30,2024-09-02,2024-09-12,Closed,31,CAPA-0066,
CHG-0100,Major Material change at Philadelphia Manufacturing,Equipment,Major,SITE-US-01,7,69,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,True,PAS,False,2024-06-27,2024-07-11,2024-07-16,2024-07-23,2024-09-12,2024-09-20,Closed,15,CAPA-0209,
CHG-0101,Major Equipment change at Philadelphia Manufacturing,Labeling,Major,SITE-US-01,1,99,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-06-26,2024-07-10,2024-07-10,2024-07-13,2024-09-14,2024-09-27,Closed,102,CAPA-0094,
CHG-0102,Minor Facility change at Philadelphia Manufacturing,Process,Minor,SITE-US-01,10,66,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-11-09,2024-11-23,2024-11-26,2024-12-09,2024-12-19,2024-12-29,Closed,89,CAPA-0143,
CHG-0103,Minor Facility change at Boston R&D Center,Material,Minor,SITE-US-02,16,126,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,True,None,False,2022-01-24,2022-02-07,2022-02-08,2022-02-24,2022-03-22,2022-03-27,Closed,152,,
CHG-0104,Major Software change at Boston R&D Center,Process,Major,SITE-US-02,18,156,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,True,CBE-30,False,2022-08-08,2022-08-22,2022-08-18,2022-09-16,2022-11-26,2022-12-02,Closed,146,CAPA-0109,
CHG-0105,Minor Equipment change at Boston R&D Center,Facility,Minor,SITE-US-02,17,156,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-12-07,2022-12-21,2022-12-18,2022-12-24,2023-01-11,2023-01-22,Closed,134,,
CHG-0106,Major Process change at Boston R&D Center,Process,Major,SITE-US-02,18,139,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-11-08,2022-11-22,2022-11-18,2022-12-20,2023-02-12,2023-02-23,Closed,150,,
CHG-0107,Major Equipment change at Boston R&D Center,Process,Major,SITE-US-02,13,141,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2022-10-15,2022-10-29,2022-10-28,2022-10-30,2023-01-09,2023-01-22,Closed,122,CAPA-0159,
CHG-0108,Minor Process change at Boston R&D Center,Material,Minor,SITE-US-02,12,160,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-04-22,2022-05-06,2022-04-29,2022-05-15,2022-05-27,2022-06-06,Closed,122,,
CHG-0109,Minor Labeling change at Boston R&D Center,Equipment,Minor,SITE-US-02,16,121,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-09-26,2022-10-10,2022-10-15,2022-10-10,2022-11-17,2022-11-28,Closed,151,,
CHG-0110,Major Facility change at Boston R&D Center,Software,Major,SITE-US-02,12,137,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-11-05,2022-11-19,2022-11-19,2022-12-13,2023-02-16,2023-02-28,Closed,126,CAPA-0135,
CHG-0111,Minor Facility change at Boston R&D Center,Software,Minor,SITE-US-02,18,133,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-04-18,2022-05-02,2022-05-04,2022-05-19,2022-06-16,2022-06-27,Closed,144,,
CHG-0112,Minor Equipment change at Boston R&D Center,Material,Minor,SITE-US-02,12,129,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-08-28,2022-09-11,2022-09-04,2022-09-21,2022-09-24,2022-10-04,Closed,159,,
CHG-0113,Minor Process change at Boston R&D Center,Facility,Minor,SITE-US-02,15,156,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-09-03,2022-09-17,2022-09-21,2022-09-19,2022-10-21,2022-10-27,Closed,135,CAPA-0048,
CHG-0114,Major Equipment change at Boston R&D Center,Equipment,Major,SITE-US-02,11,148,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-09-16,2022-09-30,2022-10-03,2022-10-28,2022-12-31,2023-01-06,Closed,140,,
CHG-0115,Major Process change at Boston R&D Center,Equipment,Major,SITE-US-02,17,159,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-12-16,2022-12-30,2023-01-03,2023-01-08,2023-03-03,2023-03-09,Closed,138,,
CHG-0116,Critical Software change at Boston R&D Center,Material,Critical,SITE-US-02,14,155,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-12-11,2022-12-25,2022-12-20,2023-01-03,2023-04-15,2023-04-22,Closed,125,,
CHG-0117,Minor Material change at Boston R&D Center,Facility,Minor,SITE-US-02,11,138,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-01-22,2022-02-05,2022-02-12,2022-02-22,2022-02-23,2022-03-01,Closed,131,,
CHG-0118,Major Facility change at Boston R&D Center,Process,Major,SITE-US-02,16,136,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2022-05-05,2022-05-19,2022-05-24,2022-06-12,2022-08-15,2022-08-26,Closed,150,,
CHG-0119,Major Software change at Boston R&D Center,Process,Major,SITE-US-02,15,150,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-02-14,2022-02-28,2022-02-23,2022-03-10,2022-05-23,2022-05-29,Closed,137,,
CHG-0120,Minor Facility change at Boston R&D Center,Facility,Minor,SITE-US-02,16,133,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2022-08-22,2022-09-05,2022-09-05,2022-10-03,2022-10-24,2022-11-01,Closed,160,,
CHG-0121,Minor Facility change at Boston R&D Center,Software,Minor,SITE-US-02,13,141,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-06-10,2022-06-24,2022-06-24,2022-07-25,2022-07-30,2022-08-05,Closed,156,,
CHG-0122,Minor Facility change at Boston R&D Center,Process,Minor,SITE-US-02,11,125,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-11-11,2022-11-25,2022-11-22,2022-12-17,2023-01-08,2023-01-19,Closed,139,,
CHG-0123,Minor Labeling change at Boston R&D Center,Facility,Minor,SITE-US-02,12,125,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2022-09-23,2022-10-07,2022-09-30,2022-10-27,2022-11-07,2022-11-20,Closed,152,CAPA-0046,
CHG-0124,Minor Facility change at Boston R&D Center,Process,Minor,SITE-US-02,12,149,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-03-23,2022-04-06,2022-04-13,2022-04-20,2022-05-04,2022-05-09,Closed,160,,
CHG-0125,Minor Software change at Boston R&D Center,Equipment,Minor,SITE-US-02,17,159,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2022-01-24,2022-02-07,2022-02-09,2022-03-08,2022-03-19,2022-03-25,Closed,136,,
CHG-0126,Major Material change at Boston R&D Center,Labeling,Major,SITE-US-02,11,123,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-04-18,2022-05-02,2022-04-28,2022-05-11,2022-07-29,2022-08-07,Closed,121,,
CHG-0127,Major Equipment change at Boston R&D Center,Software,Major,SITE-US-02,11,155,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,True,None,False,2022-01-23,2022-02-06,2022-02-02,2022-03-08,2022-05-05,2022-05-19,Closed,150,,
CHG-0128,Minor Labeling change at Boston R&D Center,Process,Minor,SITE-US-02,18,137,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2022-11-28,2022-12-12,2022-12-18,2023-01-07,2023-01-09,2023-01-19,Closed,137,,
CHG-0129,Critical Equipment change at Boston R&D Center,Process,Critical,SITE-US-02,12,135,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,True,CBE-0,False,2022-06-04,2022-06-18,2022-06-18,2022-06-22,2022-09-19,2022-09-28,Closed,132,,
CHG-0130,Minor Equipment change at Boston R&D Center,Material,Minor,SITE-US-02,18,141,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2022-07-08,2022-07-22,2022-07-20,2022-08-12,2022-08-29,2022-09-12,Closed,152,,
CHG-0131,Major Equipment change at Boston R&D Center,Equipment,Major,SITE-US-02,14,154,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2022-08-21,2022-09-04,2022-09-01,2022-09-15,2022-12-02,2022-12-16,Closed,150,,
CHG-0132,Minor Process change at Boston R&D Center,Labeling,Minor,SITE-US-02,18,143,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2022-05-21,2022-06-04,2022-06-10,2022-07-01,2022-06-22,2022-07-04,Closed,150,,
CHG-0133,Critical Facility change at Boston R&D Center,Equipment,Critical,SITE-US-02,16,156,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,True,None,False,2022-07-05,2022-07-19,2022-07-23,2022-07-22,2022-10-16,2022-10-23,Closed,139,,
CHG-0134,Major Labeling change at Boston R&D Center,Facility,Major,SITE-US-02,18,123,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2023-07-16,2023-07-30,2023-07-30,2023-08-15,2023-11-03,2023-11-13,Closed,141,,
CHG-0135,Minor Equipment change at Boston R&D Center,Equipment,Minor,SITE-US-02,15,149,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-02-21,2023-03-07,2023-03-01,2023-03-24,2023-04-22,2023-05-02,Closed,149,,
CHG-0136,Minor Software change at Boston R&D Center,Equipment,Minor,SITE-US-02,17,152,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-04-03,2023-04-17,2023-04-10,2023-05-12,2023-05-21,2023-06-04,Closed,148,,
CHG-0137,Minor Equipment change at Boston R&D Center,Software,Minor,SITE-US-02,17,136,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-12-24,2024-01-07,2024-01-05,2024-01-21,2024-02-21,2024-03-07,Closed,160,,
CHG-0138,Minor Labeling change at Boston R&D Center,Facility,Minor,SITE-US-02,11,138,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,True,None,False,2023-01-01,2023-01-15,2023-01-21,2023-01-25,2023-02-10,2023-02-19,Closed,124,,
CHG-0139,Critical Facility change at Boston R&D Center,Labeling,Critical,SITE-US-02,17,122,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-11-26,2023-12-10,2023-12-15,2024-01-04,2024-04-02,2024-04-11,Closed,123,,
CHG-0140,Minor Labeling change at Boston R&D Center,Facility,Minor,SITE-US-02,17,133,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,True,2023-05-13,2023-05-27,2023-05-23,2023-06-02,2023-07-12,2023-07-20,Closed,151,,
CHG-0141,Major Facility change at Boston R&D Center,Facility,Major,SITE-US-02,16,155,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2023-12-15,2023-12-29,2024-01-01,2024-01-03,2024-03-26,2024-04-02,Closed,158,,
CHG-0142,Minor Software change at Boston R&D Center,Labeling,Minor,SITE-US-02,14,158,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-06-11,2023-06-25,2023-06-29,2023-07-21,2023-08-06,2023-08-12,Closed,128,,
CHG-0143,Minor Material change at Boston R&D Center,Material,Minor,SITE-US-02,12,146,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-10-12,2023-10-26,2023-10-24,2023-11-18,2023-11-17,2023-11-30,Closed,124,,
CHG-0144,Critical Software change at Boston R&D Center,Facility,Critical,SITE-US-02,18,151,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-09-28,2023-10-12,2023-10-13,2023-11-10,2024-02-08,2024-02-16,Closed,148,CAPA-0027,
CHG-0145,Major Material change at Boston R&D Center,Software,Major,SITE-US-02,14,160,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-02-01,2023-02-15,2023-02-13,2023-02-18,2023-05-09,2023-05-14,Closed,122,,
CHG-0146,Minor Process change at Boston R&D Center,Software,Minor,SITE-US-02,17,136,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,True,None,False,2023-10-14,2023-10-28,2023-10-27,2023-11-19,2023-12-07,2023-12-21,Closed,135,,
CHG-0147,Critical Equipment change at Boston R&D Center,Software,Critical,SITE-US-02,11,121,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,True,None,False,2023-04-26,2023-05-10,2023-05-11,2023-06-09,2023-08-09,2023-08-17,Closed,121,CAPA-0047,
CHG-0148,Minor Software change at Boston R&D Center,Software,Minor,SITE-US-02,13,136,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2023-05-22,2023-06-05,2023-05-31,2023-06-23,2023-06-21,2023-07-03,Closed,126,,
CHG-0149,Minor Labeling change at Boston R&D Center,Equipment,Minor,SITE-US-02,16,139,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-06-23,2023-07-07,2023-07-05,2023-08-04,2023-07-27,2023-08-02,Closed,126,,
CHG-0150,Critical Equipment change at Boston R&D Center,Software,Critical,SITE-US-02,17,155,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,True,None,False,2023-07-21,2023-08-04,2023-08-07,2023-08-10,2023-10-27,2023-11-09,Closed,135,,
CHG-0151,Minor Facility change at Boston R&D Center,Labeling,Minor,SITE-US-02,12,130,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,True,None,False,2023-12-20,2024-01-03,2023-12-31,2024-01-04,2024-01-31,2024-02-13,Closed,132,,
CHG-0152,Major Material change at Boston R&D Center,Material,Major,SITE-US-02,14,134,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-07-04,2023-07-18,2023-07-20,2023-07-21,2023-09-24,2023-09-29,Closed,158,CAPA-0045,
CHG-0153,Emergency Equipment change at Boston R&D Center,Software,Emergency,SITE-US-02,11,137,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2023-10-20,2023-11-03,2023-10-31,2023-11-06,2023-10-19,2023-10-30,Closed,135,CAPA-0072,
CHG-0154,Minor Labeling change at Boston R&D Center,Software,Minor,SITE-US-02,12,146,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,True,PAS,False,2023-08-27,2023-09-10,2023-09-12,2023-09-14,2023-10-03,2023-10-13,Closed,156,,
CHG-0155,Major Facility change at Boston R&D Center,Material,Major,SITE-US-02,17,136,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2023-04-02,2023-04-16,2023-04-18,2023-05-04,2023-07-07,2023-07-17,Closed,130,,
CHG-0156,Major Software change at Boston R&D Center,Process,Major,SITE-US-02,14,147,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2023-12-07,2023-12-21,2023-12-19,2024-01-07,2024-02-25,2024-03-04,Closed,153,CAPA-0031,
CHG-0157,Minor Labeling change at Boston R&D Center,Facility,Minor,SITE-US-02,13,135,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-11-05,2023-11-19,2023-11-23,2023-12-15,2023-12-12,2023-12-20,Closed,138,,
CHG-0158,Major Material change at Boston R&D Center,Labeling,Major,SITE-US-02,14,142,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-10-13,2023-10-27,2023-10-30,2023-11-06,2024-01-16,2024-01-28,Closed,150,CAPA-0135,
CHG-0159,Minor Process change at Boston R&D Center,Software,Minor,SITE-US-02,17,141,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-01-16,2023-01-30,2023-02-03,2023-02-09,2023-03-03,2023-03-18,Closed,141,CAPA-0148,
CHG-0160,Critical Material change at Boston R&D Center,Equipment,Critical,SITE-US-02,15,158,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2023-06-24,2023-07-08,2023-07-09,2023-07-24,2023-10-27,2023-11-09,Closed,155,,
CHG-0161,Minor Material change at Boston R&D Center,Software,Minor,SITE-US-02,15,155,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-07-03,2023-07-17,2023-07-24,2023-08-16,2023-08-05,2023-08-10,Closed,147,,
CHG-0162,Minor Process change at Boston R&D Center,Labeling,Minor,SITE-US-02,18,130,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-01-18,2023-02-01,2023-02-02,2023-02-04,2023-02-22,2023-03-01,Closed,121,,
CHG-0163,Major Process change at Boston R&D Center,Equipment,Major,SITE-US-02,14,147,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-01-25,2023-02-08,2023-02-07,2023-02-10,2023-05-04,2023-05-10,Closed,143,,
CHG-0164,Minor Software change at Boston R&D Center,Software,Minor,SITE-US-02,12,153,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-09-01,2023-09-15,2023-09-15,2023-10-06,2023-11-09,2023-11-14,Closed,140,CAPA-0070,
CHG-0165,Minor Equipment change at Boston R&D Center,Process,Minor,SITE-US-02,18,153,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2023-11-23,2023-12-07,2023-12-08,2023-12-17,2023-12-19,2023-12-31,Closed,135,,
CHG-0166,Major Labeling change at Boston R&D Center,Software,Major,SITE-US-02,16,135,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-01-19,2023-02-02,2023-02-06,2023-02-26,2023-04-29,2023-05-13,Closed,134,CAPA-0228,
CHG-0167,Major Software change at Boston R&D Center,Labeling,Major,SITE-US-02,14,152,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-12-11,2023-12-25,2023-12-31,2024-01-21,2024-02-26,2024-03-02,Closed,124,,
CHG-0168,Minor Labeling change at Boston R&D Center,Software,Minor,SITE-US-02,11,143,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2023-05-05,2023-05-19,2023-05-20,2023-06-04,2023-07-04,2023-07-12,Closed,158,,
CHG-0169,Major Software change at Boston R&D Center,Process,Major,SITE-US-02,12,139,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2023-06-21,2023-07-05,2023-07-12,2023-07-18,2023-08-31,2023-09-10,Closed,123,,
CHG-0170,Minor Software change at Boston R&D Center,Process,Minor,SITE-US-02,16,160,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,True,2024-07-25,2024-08-08,2024-08-11,2024-09-05,2024-09-19,2024-10-01,Closed,152,,
CHG-0171,Major Process change at Boston R&D Center,Material,Major,SITE-US-02,18,142,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,True,CBE-0,False,2024-02-02,2024-02-16,2024-02-09,2024-02-28,2024-05-21,2024-05-27,Closed,147,,
CHG-0172,Emergency Labeling change at Boston R&D Center,Equipment,Emergency,SITE-US-02,13,133,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2024-10-13,2024-10-27,2024-10-25,2024-11-01,2024-10-13,2024-10-22,Closed,129,,
CHG-0173,Major Equipment change at Boston R&D Center,Software,Major,SITE-US-02,15,121,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2024-04-05,2024-04-19,2024-04-15,2024-05-08,2024-06-24,2024-07-04,Closed,131,,
CHG-0174,Emergency Material change at Boston R&D Center,Process,Emergency,SITE-US-02,18,133,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2024-08-24,2024-09-07,2024-09-08,2024-09-18,2024-09-24,2024-10-07,Closed,144,CAPA-0210,
CHG-0175,Major Material change at Boston R&D Center,Process,Major,SITE-US-02,13,127,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2024-03-07,2024-03-21,2024-03-26,2024-04-18,2024-05-19,2024-06-01,Closed,159,,
CHG-0176,Minor Material change at Boston R&D Center,Process,Minor,SITE-US-02,11,145,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2024-09-15,2024-09-29,2024-09-27,2024-10-23,2024-10-29,2024-11-13,Closed,136,,
CHG-0177,Minor Process change at Boston R&D Center,Process,Minor,SITE-US-02,12,142,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2024-01-18,2024-02-01,2024-02-06,2024-02-19,2024-02-18,2024-03-04,Closed,153,,
CHG-0178,Minor Material change at Boston R&D Center,Material,Minor,SITE-US-02,16,151,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2024-02-21,2024-03-06,2024-02-29,2024-03-24,2024-03-22,2024-04-01,Closed,150,CAPA-0062,
CHG-0179,Major Labeling change at Boston R&D Center,Material,Major,SITE-US-02,18,145,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2024-06-12,2024-06-26,2024-07-01,2024-07-10,2024-09-20,2024-09-29,Closed,138,,
CHG-0180,Minor Process change at Boston R&D Center,Software,Minor,SITE-US-02,18,143,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,True,CBE-0,False,2024-10-18,2024-11-01,2024-11-04,2024-11-19,2024-11-24,2024-12-04,Closed,133,,
CHG-0181,Minor Equipment change at Boston R&D Center,Process,Minor,SITE-US-02,15,134,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2024-01-27,2024-02-10,2024-02-05,2024-03-07,2024-03-27,2024-04-02,Closed,157,,
CHG-0182,Minor Labeling change at Boston R&D Center,Equipment,Minor,SITE-US-02,11,149,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,True,2024-09-25,2024-10-09,2024-10-09,2024-10-30,2024-11-16,2024-11-28,Closed,124,,
CHG-0183,Minor Process change at Boston R&D Center,Facility,Minor,SITE-US-02,15,141,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2024-11-15,2024-11-29,2024-12-02,2024-12-05,2024-12-12,2024-12-27,Closed,142,,
CHG-0184,Minor Labeling change at Boston R&D Center,Process,Minor,SITE-US-02,18,141,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2024-10-28,2024-11-11,2024-11-08,2024-12-09,2024-12-24,,Approval,156,,
CHG-0185,Critical Facility change at Boston R&D Center,Equipment,Critical,SITE-US-02,12,122,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2024-12-09,2024-12-23,2024-12-28,2025-01-23,2025-04-28,,Approval,140,,
CHG-0186,Major Labeling change at Boston R&D Center,Software,Major,SITE-US-02,12,135,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2024-03-02,2024-03-16,2024-03-23,2024-04-06,2024-06-03,2024-06-09,Closed,159,CAPA-0126,
CHG-0187,Major Software change at Boston R&D Center,Material,Major,SITE-US-02,17,132,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2024-08-04,2024-08-18,2024-08-21,2024-08-29,2024-11-13,2024-11-22,Closed,126,,
CHG-0188,Major Material change at Boston R&D Center,Software,Major,SITE-US-02,18,127,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,True,None,False,2024-02-08,2024-02-22,2024-02-16,2024-03-01,2024-04-20,2024-04-30,Closed,138,CAPA-0151,
CHG-0189,Major Facility change at Boston R&D Center,Material,Major,SITE-US-02,18,151,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2024-06-01,2024-06-15,2024-06-18,2024-07-09,2024-08-17,2024-08-27,Closed,127,,
CHG-0190,Major Labeling change at Boston R&D Center,Facility,Major,SITE-US-02,15,149,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2024-04-18,2024-05-02,2024-05-07,2024-05-26,2024-07-05,2024-07-15,Closed,149,CAPA-0118,
CHG-0191,Critical Facility change at Boston R&D Center,Labeling,Critical,SITE-US-02,12,144,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,False,False,None,False,2024-04-28,2024-05-12,2024-05-15,2024-06-09,2024-09-18,2024-09-25,Closed,157,,
CHG-0192,Minor Software change at Boston R&D Center,Labeling,Minor,SITE-US-02,12,160,Change to improve compliance and quality in Boston R&D Center,Quality improvement and regulatory compliance,True,False,None,False,2024-01-13,2024-01-27,2024-01-23,2024-02-06,2024-03-08,2024-03-22,Closed,148,CAPA-0096,
